Time_Period,Time_Start_Label,Time_End_Label,Site_2_Work_Power_kW,Site_3_Work_Power_kW,Total_Work_Power_kW
60,D1 22:45,D1 23:00,0.0,0.0,0.0
61,D1 23:00,D1 23:15,0.0,0.0,0.0
62,D1 23:15,D1 23:30,0.0,0.0,0.0
63,D1 23:30,D1 23:45,0.0,0.0,0.0
64,D1 23:45,D1 00:00,0.0,0.0,0.0
65,D1 00:00,D1 00:15,0.0,0.0,0.0
66,D1 00:15,D1 00:30,0.0,0.0,0.0
67,D1 00:30,D1 00:45,0.0,0.0,0.0
68,D1 00:45,D1 01:00,0.0,0.0,0.0
69,D1 01:00,D1 01:15,0.0,0.0,0.0
70,D1 01:15,D1 01:30,0.0,0.0,0.0
71,D1 01:30,D1 01:45,0.0,0.0,0.0
72,D1 01:45,D1 02:00,0.0,0.0,0.0
73,D1 02:00,D1 02:15,0.0,0.0,0.0
74,D1 02:15,D1 02:30,0.0,0.0,0.0
75,D1 02:30,D1 02:45,0.0,0.0,0.0
76,D1 02:45,D1 03:00,0.0,0.0,0.0
77,D1 03:00,D1 03:15,0.0,0.0,0.0
78,D1 03:15,D1 03:30,0.0,0.0,0.0
79,D1 03:30,D1 03:45,0.0,0.0,0.0
80,D1 03:45,D1 04:00,0.0,0.0,0.0
81,D1 04:00,D1 04:15,0.0,0.0,0.0
82,D1 04:15,D1 04:30,0.0,0.0,0.0
83,D1 04:30,D1 04:45,0.0,0.0,0.0
84,D1 04:45,D1 05:00,0.0,0.0,0.0
85,D1 05:00,D1 05:15,0.0,0.0,0.0
86,D1 05:15,D1 05:30,0.0,0.0,0.0
87,D1 05:30,D1 05:45,0.0,0.0,0.0
88,D1 05:45,D1 06:00,0.0,0.0,0.0
89,D1 06:00,D1 06:15,0.0,0.0,0.0
90,D1 06:15,D1 06:30,0.0,0.0,0.0
91,D1 06:30,D1 06:45,0.0,0.0,0.0
92,D1 06:45,D1 07:00,0.0,0.0,0.0
93,D1 07:00,D1 07:15,0.0,0.0,0.0
94,D1 07:15,D1 07:30,0.0,0.0,0.0
95,D1 07:30,D1 07:45,0.0,0.0,0.0
96,D1 07:45,D1 08:00,0.0,0.0,0.0
