k,clock,price,co2,grid_kW,dch_kW,work_kW,soe_mcs,soe_cev1,soe_cev2,mcs_node,est_dig,est_load,est_trv,est_idle,unc_dig,unc_load,unc_trv,unc_idle,n_obs
19,12:30,0.18,0.44871672920607153,0.0,8.678585509129903,1.2,223.03195118180793,77.91964637728248,33.850000000000016,2,5.190598141212672,2.7821859753322555,4.940057641152988,0.5064578803910528,0.07494279948655098,0.12411216241587426,0.1345621459566751,0.12152392294792022,38
20,12:45,0.18,0.4471177920604845,0.0,0.0,1.2,222.53195118180793,77.76964637728247,33.70000000000002,0,5.190598141212672,2.7821859753322555,4.940057641152988,0.5064578803910528,0.07494279948655098,0.12411216241587426,0.1345621459566751,0.12152392294792022,40
21,13:00,0.18,0.44488887394336024,0.0,0.0,1.2,222.03195118180793,77.61964637728246,33.55000000000002,0,5.190598141212672,2.7821859753322555,4.940057641152988,0.5064578803910528,0.07494279948655098,0.12411216241587426,0.1345621459566751,0.12152392294792022,42
22,13:15,0.18,0.44203951942426584,0.0,0.0,1.2,222.03195118180793,77.46964637728246,33.40000000000002,3,5.190598141212672,2.7821859753322555,4.940057641152988,0.5064578803910528,0.07494279948655098,0.12411216241587426,0.1345621459566751,0.12152392294792022,44
23,13:30,0.18,0.438581929876693,0.0,0.0,1.2,222.03195118180793,77.31964637728245,33.25000000000002,3,5.190598141212672,2.7821859753322555,4.940057641152988,0.5064578803910528,0.07494279948655098,0.12411216241587426,0.1345621459566751,0.12152392294792022,46
24,13:45,0.18,0.4345309112299032,0.0,0.0,1.2,222.03195118180793,77.16964637728245,33.10000000000002,3,5.188476439369764,2.7787425528184846,4.941558468379596,0.5818040500780587,0.07357314811705513,0.11753817596158374,0.1253233382201605,0.05845067033228404,48
25,14:00,0.18,0.4299038105676658,0.0,0.0,3.4,222.03195118180793,76.46964637728244,32.950000000000024,3,5.188476439369764,2.7787425528184846,4.941558468379596,0.5818040500780587,0.07357314811705513,0.11753817596158374,0.1253233382201605,0.05845067033228404,50
26,14:15,0.18,0.42472044184538177,0.0,0.0,3.4,222.03195118180793,75.76964637728244,32.800000000000026,3,5.188476439369764,2.7787425528184846,4.941558468379596,0.5818040500780587,0.07357314811705513,0.11753817596158374,0.1253233382201605,0.05845067033228404,52
27,14:30,0.18,0.41900300104368526,0.0,0.0,1.2,222.03195118180793,75.61964637728244,32.65000000000003,3,5.188476439369764,2.7787425528184846,4.941558468379596,0.5818040500780587,0.07357314811705513,0.11753817596158374,0.1253233382201605,0.05845067033228404,54
28,14:45,0.18,0.4127759711218466,0.0,0.0,3.4,222.03195118180793,74.91964637728243,32.50000000000003,3,5.188476439369764,2.7787425528184846,4.941558468379596,0.5818040500780587,0.07357314811705513,0.11753817596158374,0.1253233382201605,0.05845067033228404,56
29,15:00,0.18,0.40606601717798213,0.0,0.0,1.2,222.03195118180793,74.76964637728243,32.35000000000003,3,5.188476439369764,2.7787425528184846,4.941558468379596,0.5818040500780587,0.07357314811705513,0.11753817596158374,0.1253233382201605,0.05845067033228404,58
30,15:15,0.18,0.39890187226501034,0.0,0.0,3.4,222.03195118180793,74.06964637728242,32.20000000000003,3,5.188476439369764,2.7787425528184846,4.941558468379596,0.5818040500780587,0.07357314811705513,0.11753817596158374,0.1253233382201605,0.05845067033228404,60
31,15:30,0.18,0.3913142143513081,0.0,0.0,1.2,222.03195118180793,73.91964637728242,32.05000000000003,3,5.188476439369764,2.7787425528184846,4.941558468379596,0.5818040500780587,0.07357314811705513,0.11753817596158374,0.1253233382201605,0.05845067033228404,62
32,15:45,0.18,0.3833355349529403,0.0,30.0,1.2,214.13721433970267,73.76964637728241,39.400000000000034,3,5.186080772146581,2.7782384447063495,4.942370392264527,0.6092497916143256,0.06532424979105812,0.08765367552840075,0.11460190251598887,0.041754381493617064,64
33,16:00,0.45,0.375,0.0,30.0,1.2,206.2424774975974,73.61964637728241,46.750000000000036,3,5.186080772146581,2.7782384447063495,4.942370392264527,0.6092497916143256,0.06532424979105812,0.08765367552840075,0.11460190251598887,0.041754381493617064,66
34,16:15,0.45,0.36634330353285016,0.0,0.0,1.2,206.2424774975974,73.4696463772824,46.60000000000004,3,5.186080772146581,2.7782384447063495,4.942370392264527,0.6092497916143256,0.06532424979105812,0.08765367552840075,0.11460190251598887,0.041754381493617064,68
35,16:30,0.45,0.3574025148547635,0.0,0.0,1.2,206.2424774975974,73.3196463772824,46.45000000000004,3,5.186080772146581,2.7782384447063495,4.942370392264527,0.6092497916143256,0.06532424979105812,0.08765367552840075,0.11460190251598887,0.041754381493617064,70
36,16:45,0.45,0.3482159197954742,0.0,8.846248958071499,1.2,203.91451724547332,73.16964637728239,48.511562239517914,3,5.186080772146581,2.7782384447063495,4.942370392264527,0.6092497916143256,0.06532424979105812,0.08765367552840075,0.11460190251598887,0.041754381493617064,72
37,17:00,0.45,0.33882285676537816,0.0,0.0,1.2,203.41451724547332,73.01964637728238,48.361562239517916,0,5.186080772146581,2.7782384447063495,4.942370392264527,0.6092497916143256,0.06532424979105812,0.08765367552840075,0.11460190251598887,0.041754381493617064,74
38,17:15,0.45,0.3292635483024193,0.0,0.0,1.2,202.91451724547332,72.86964637728238,48.21156223951792,0,5.186080772146581,2.7782384447063495,4.942370392264527,0.6092497916143256,0.06532424979105812,0.08765367552840075,0.11460190251598887,0.041754381493617064,76
39,17:30,0.45,0.3195789288330077,0.0,0.0,1.2,202.41451724547332,72.71964637728237,48.06156223951792,0,5.186080772146581,2.7782384447063495,4.942370392264527,0.6092497916143256,0.06532424979105812,0.08765367552840075,0.11460190251598887,0.041754381493617064,78
40,17:45,0.45,0.30981046938452145,0.0,0.0,1.2,202.41451724547332,72.56964637728237,47.91156223951792,1,5.188623669623212,2.7809969780906982,4.941965361379207,0.5933522821662601,0.060434544452185227,0.08341005906069134,0.09849383354963598,0.0361838460011016,80
