Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh
26,14:15,79.02132001674683,90.0,18.0,49.33362251438685,60.0,12.0
27,14:30,78.02964861221935,90.0,18.0,48.46866693764866,60.0,12.0
28,14:45,76.96611722187556,90.0,18.0,48.46866693764866,60.0,12.0
29,15:00,76.19661901076861,90.0,18.0,48.46866693764866,60.0,12.0
30,15:15,76.19661901076861,90.0,18.0,48.46866693764866,60.0,12.0
31,15:30,75.82522440735346,90.0,18.0,48.46866693764866,60.0,12.0
32,15:45,75.49740058771862,90.0,18.0,48.46866693764866,60.0,12.0
33,16:00,74.08292770339116,90.0,18.0,48.46866693764866,60.0,12.0
34,16:15,73.38831367128388,90.0,18.0,48.46866693764866,60.0,12.0
35,16:30,73.38831367128388,90.0,18.0,48.46866693764866,60.0,12.0
36,16:45,71.89718249644088,90.0,18.0,48.46866693764866,60.0,12.0
37,17:00,71.89718249644088,90.0,18.0,48.46866693764866,60.0,12.0
38,17:15,71.89718249644088,90.0,18.0,48.46866693764866,60.0,12.0
39,17:30,71.89718249644088,90.0,18.0,48.46866693764866,60.0,12.0
40,17:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
41,18:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
42,18:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
43,18:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
44,18:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
45,19:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
46,19:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
47,19:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
48,19:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
49,20:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
50,20:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
51,20:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
52,20:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
53,21:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
54,21:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
55,21:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
56,21:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
57,22:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
58,22:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
59,22:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
60,22:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
61,23:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
62,23:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
63,23:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
64,23:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
65,00:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
66,00:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
67,00:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
68,00:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
69,01:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
70,01:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
71,01:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
72,01:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
73,02:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
74,02:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
75,02:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
76,02:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
77,03:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
78,03:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
79,03:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
80,03:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
81,04:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
82,04:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
83,04:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
84,04:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
85,05:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
86,05:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
87,05:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
88,05:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
89,06:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
90,06:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
91,06:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
92,06:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
93,07:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
94,07:15,72.0,90.0,18.0,48.46866693764866,60.0,12.0
95,07:30,72.0,90.0,18.0,48.46866693764866,60.0,12.0
96,07:45,72.0,90.0,18.0,48.46866693764866,60.0,12.0
97,08:00,72.0,90.0,18.0,48.46866693764866,60.0,12.0
